"filename", "language", "JavaScript", "JSON", "TypeScript", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\Repos\Nodejs\runwaybase.js\src\drivers\DriverResult.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\Repos\Nodejs\runwaybase.js\src\drivers\IDataDriver.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 1, 16
"d:\Repos\Nodejs\runwaybase.js\src\drivers\Mem\MemoryDataDriver.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 3, 11, 169
"d:\Repos\Nodejs\runwaybase.js\src\drivers\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\Repos\Nodejs\runwaybase.js\src\index.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Repos\Nodejs\runwaybase.js\src\realtime\BaseNotifier.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 5, 22
"d:\Repos\Nodejs\runwaybase.js\src\realtime\ChangePayload.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Repos\Nodejs\runwaybase.js\src\realtime\Collection.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 6, 12, 170
"d:\Repos\Nodejs\runwaybase.js\src\realtime\Document.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Repos\Nodejs\runwaybase.js\src\realtime\INotifier.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 4, 24
"d:\Repos\Nodejs\runwaybase.js\src\realtime\QueryModel.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 5, 39
"d:\Repos\Nodejs\runwaybase.js\src\realtime\RealtimeDatabase.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 4, 13, 132
"d:\Repos\Nodejs\runwaybase.js\src\realtime\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\Repos\Nodejs\runwaybase.js\tests\Collection.spec.ts", "TypeScript", 0, 0, 102, 0, 0, 0, 5, 15, 122
"d:\Repos\Nodejs\runwaybase.js\tests\Interoperation.spec.ts", "TypeScript", 0, 0, 206, 0, 0, 0, 1, 30, 237
"d:\Repos\Nodejs\runwaybase.js\tests\MemoryDataDriver.spec.ts", "TypeScript", 0, 0, 159, 0, 0, 0, 1, 9, 169
"d:\Repos\Nodejs\runwaybase.js\tests\RealtimeDatabase.spec.ts", "TypeScript", 0, 0, 174, 0, 0, 0, 7, 8, 189
"d:\Repos\Nodejs\runwaybase.js\tsconfig.browser.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 13
"d:\Repos\Nodejs\runwaybase.js\tsconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 48, 8, 76
"d:\Repos\Nodejs\runwaybase.js\webpack.config.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 276, 13395, 1516, 4444, 473, 204, 146, 537, 20991
